"Name (english)","Acronym (english)","Name (french)","Acronym (French)","Street","Postcode","Town","Country","Tel","Fax","Website","Email","Funding","Nature of organisation","President First Name","President Last Name","President Address","SG First Name","SG Last Name","SG Address","Year of foundation","Staff","Number of members","Working languages","Official languages","Committes","Geographical representation","Areas of competence","yearStatus"
"Association of the European Self-Medication Industry","AESGP","Association européenne des Spécialités pharmaceutiques grand public","AESGP","Avenue de Tervuren 7","1040","Brussels","Belgium","+32 2 735 51 30","+32 2 735 52 22","www.aesgp.eu","","Member fees","Association","Hans","van Zoonen","AESGP Avenue de Tervuren 7 B-1040 Brussels","Hubertus","Cranz","AESGP Avenue de Tervuren 7 B-1040 Brussels","1964","7","47","English","English","Democracy, Social Cohesion and Global Challenges","Austria, Belgium, Bulgaria, Croatia, Czech Republic, Danemark, Spain, Finland, France, Germany, Hungary, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Romania, Slovenia, Switzerland, Slovakia, Sweden, Turkey, Greece, Luxembourg, United Kingdom, USA","Health, Pharmacopoeia, Public Health","1981"
"Association of Women of Southern Europe","AFEM","Association des Femmes de l'Europe méridionale","AFEM","Siège administratif : c/o UFCS - 6 rue Béranger","75003","Paris","France","+33 (0)1 44 54 50 58","","www.afem-europa.org","contact@afem-europa.org","Member fees, Public funding, Private donations","Federation","TERESA","BOCCIA","siège administratif","CATHERINE","BIRABEN","siège administratif","1995","1","0","espagnol, français, grec, italien, portugais, anglais","français","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights, Human Rights","Belgium, Bulgaria, Cyprus, Spain, France, Italy, Portugal, Romania, Slovenia, Greece, Malta, Andorra","Human rights, Democracy, Social Cohension, International Co-operation, Education and Culture, Rule of Law, Youth, Other","2000"
"Association of Working Communities of the Alpine Regions","AWCAR","Association des Communautés de Travail des Régions alpines","AWCAR","Eduard-Wallnöfer-Platz 3","6020","Innsbruck","Austria","0043-(0)512-508 2340","0043-(0)512-508 2345","http://www.argealp.org/alpenraumstrategie","info@argealp.org","Member fees, Public funding","Association","Günther","Platter","Eduard-Wallnöfer-Platz 3, 6020 Innsbruck, Austria","Friedrich","Staudigl","Eduard-Wallnöfer-Platz 3, 6020 Innsbruck, Austria","1989","3","3","German, Italian, French","German, Italian, French","Democracy, Social Cohesion and Global Challenges","Austria, Croatia, Germany, Hungary, Italy, Slovenia, Switzerland","Social Cohension, International Co-operation, Education and Culture, Health, Environment and sustanable development, Media and Communication, Youth, Sport","1990"
"Autism-Europe aisbl","AE","Autisme-Europe aisbl","AE","Montoyer, 39","1000","Bruxelles","Belgium","0032-2-675.75.05","0032-2-675.72.70","www.autismeurope.org","","Member fees, Public funding","Association","Evelyne","Friedel","","Aurélie","Baranger","Rue Montoyer, 39 B-1000 Bruxelles","1983","2","0","French","English","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights","Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Spain, Estonia, Finland, France, Germany, Hungary, Ireland, Italy, Netherlands, Norway, Poland, Portugal, Romania, Slovenia, Switzerland, Slovakia, Turkey, Greece, the former Yugoslav Republic of Macedonia, Armenia, Luxembourg, Ukraine, Serbia, Iceland, Russian Federation, United Kingdom, Canada","Human rights, International Co-operation, Education and Culture, Health, Youth","2004"
"Babel International","BI","Babel International","BI","Central European HQ - 226 rue St Denis","75002","Paris","France","+33 1 42 33 45 79","","www.cafebabel.com","","Member fees, Public funding, Private donations","Association","Alexandre","Heully","General Delegate a.heully@cafebabel.com","Morag","Young","","2001","9","1 000","","","Democracy, Social Cohesion and Global Challenges, Human Rights","Belgium, Bulgaria, Czech Republic, Spain, Estonia, France, Germany, Hungary, Italy, Lithuania, Netherlands, Poland, Portugal, Romania, Sweden, Turkey, Greece, Serbia, United Kingdom","Human rights, Democracy, International Co-operation, Education and Culture, Rule of Law, Media and Communication, Youth","2004"
"Caritas Europa","CARITAS","Caritas Europa","CARITAS","4 rue de Pascale","1040","Bruxelles","Belgium","+32(0)2 280 02 80","+32(0)2 230 16 58","www.caritas-europa.org","info@caritas-europa.org","Public funding","Federation","Erny","GILLEN","4 rue de Pascale B-1040 BRUXELLES","Jorge","NUÑO-MAYER","4 rue de Pascale B-1040 Bruxelles","1971","14","49","English - French","English - French - German","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights","Albania, Andorra, Armenia, Austria, Belgium, Bosnia and Herzegovina, Bulgaria, Canada, Croatia, Cyprus, Czech Republic, Danemark, Estonia, Finland, France, Georgia, Germany, Greece, Hungary, Iceland, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Moldova, Monaco, Netherlands, Norway, Poland, Portugal, Romania, Russian Federation, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, the former Yugoslav Republic of Macedonia, Turkey, Ukraine, United Kingdom, USA","Education and Culture, Environment and sustanable development, Human rights, International Co-operation, Social Cohension","1983"
"Catholic International Education Office","CIEO","Office International de l'Enseignement Catholique","OIEC","Avenue Houba de Strooper 718","1020","Bruxelles","Belgium","00 32 2 230 72 52","00 32 2 230 97 45","www.infoiec.org","info@infoiec.net","Member fees","Federation","CESARE","NOSIGLIA","Avenue Houba de Strooper 718 B- 1020 Bruxelles","ANGEL","ASTORGANO","Avenue Houba de Strooper 718 B- 1020 Bruxelles","0","4","107","English ; French","French - English - Spanish","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights","Austria, Belgium, Croatia, Cyprus, Czech Republic, Danemark, Spain, Finland, France, Germany, Hungary, Ireland, Italy, Netherlands, Norway, Poland, Portugal, Romania, Switzerland, Sweden, Greece, the former Yugoslav Republic of Macedonia, Luxembourg, Malta, United Kingdom, USA, Canada","Human rights, Democracy, Social Cohension, International Co-operation, Education and Culture, Environment and sustanable development, Media and Communication, Youth","1965"
"Center for Democracy and Reconciliation in Southeast Europe","CDRSEE","Centre pour la démocratie et la réconciliation en Europe du sud-est","CDRSEE","Krispou 9","54636","Thessaloniki","Greece","0030 2310 960820/1","0030 2310 960822","www.cdsee.org","info@cdsee.org","Public funding, Private donations","Association","Erhard","BUSEK","Vienna and Brussels (contact via CDRSEE)","Selcuk","EREZ","Istanbul (contact via CDRSEE)","1998","8","0","English, Greek, Serbian, Bosnian, Croatian, Albanian, Macedo","English, Greek","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights, Human Rights","Croatia, Netherlands, Greece, Serbia","Human rights, Democracy, Social Cohension, International Co-operation, Education and Culture, Rule of Law, Media and Communication, Youth","2005"
"Central and Eastern European Citizens Network","CEE CN","Réseau de Citoyens de l’Europe Centrale et de l’Est","CEE CN","Kapitulska 13","974 01","Banska Bystrica","Slovakia","+421 48 4152468","+421 48 4123880","www.ceecn.net","anna@ceecn.net","Private donations","Association","Chuck","Hirt","Kapitulska 13, Banska Bystrica 974 01 Slovakia","Anna","Karailieva","Kapitulska 13, Banska Bystrica 974 01 Slovakia","2000","3","30","English","English","Democracy, Social Cohesion and Global Challenges, Education and Culture","Bulgaria, Croatia, Czech Republic, Estonia, Hungary, Poland, Romania, Slovenia, Slovakia, Albania, Georgia, Armenia, Ukraine, Bosnia and Herzegovina, Serbia, Russian Federation, Belarus","Democracy, Promotion of democratic values and education for democratic citizenship, local and regional democracy, Equal democracy, Elections, Education and Culture, Education for Democratic Citizenship, Strengthening civil society","2008"
"Centre for Study and Strategic Prospective","CEPS","Centre d’Etude et de Prospective stratégique","CEPS","1, rue de Villersexel","75007","Paris","France","+ 33 1 53 63 13 63","+ 33 1 53 63 13 60","www.ceps-oing.org","ceps@ceps-oing.org","Member fees, Private donations","Association","Bernard","Bourigeaud","1, rue de Villersexel F-75007 Paris","Michel","Zarka","1, rue de Villersexel F-75007 Paris","1985","10","700","French, English, Spanish, German","","Democracy, Social Cohesion and Global Challenges, Human Rights","Belgium, Spain, France, Germany, Italy, Netherlands, Russian Federation, United Kingdom, USA","Human rights, Democracy, Social Cohension, International Co-operation, Rule of Law, Environment and sustanable development, Media and Communication, Other","2003"
"Churches' Commission for Migrants in Europe","CCME","Commission des Eglises auprès des Migrants en Europe","CEME","Rue Joseph II, 174","1000","Brussels","Belgium","+32 (0)2 2346800","+32 (0)2 2311413","www.ccme.be","","Member fees, Public funding, Private donations","Association","Arlington","Trotman","Title: Rev.","Doris","Peschke","Doris.Peschke@ccme.be","1964","4","22","English","English","","Austria, Belgium, Czech Republic, Spain, Finland, France, Germany, Ireland, Italy, Netherlands, Norway, Portugal, Romania, Switzerland, Slovakia, Sweden, Greece, United Kingdom","Human rights, Promotion and defence of Human Rights, Legal protection, Fight against racism, Prevention of Torture, Trafficking in human beings, Social Cohension, Family, Migration, Intercommunity relations and integration, Roma and Travellers, Refugees, International Co-operation, European integration, Other, Education and Culture, Cultural diversity, Religion, Rights of Minorities, Intercultural Dialogue, Other","0"
"CISV International","CISV","CISV International","CISV","MEA House, Ellison Place","NE1 8XS","Newcastle Upon Tyne","United Kingdom","00 44 (0)191 2324998","00 44 (0)191 2614710","www.cisv.org","international@cisv.org","Member fees, Public funding, Private donations","Federation","Leah","Donelan","as above","Gabrielle","Mandell","as above","1951","0","0","English / Various","English","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights, Human Rights","Austria, Belgium, Bulgaria, Croatia, Czech Republic, Danemark, Spain, Estonia, Finland, France, Germany, Hungary, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Romania, Slovenia, Switzerland, Slovakia, Sweden, Turkey, Greece, Georgia, Latvia, Luxembourg, Malta, Ukraine, Bosnia and Herzegovina, Serbia, Iceland, Russian Federation, United Kingdom, Belarus, USA, Canada, Israel","Human rights, Promotion and defence of Human Rights, Children's rights, Fight against racism, Other, Democracy, International Co-operation, Promotion of Peace, Conflict meditation, North-South Dialogue, Other, Education and Culture, Education for Democratic Citizenship, Heritage, Cultural diversity, Other, Youth, Youth participation, Intercultural Dialogue","1977"
"Citizens Association CIVIS, Association of Non-governmental Organisations of South-East Europe","CIVIS","Association de citoyens CIVIS, Association d’ONG de l’Europe du Sud-Est","CIVIS","Dobracina 15/VII","11000","Belgrade","Serbia","+381.11.2621723","+381.11.2626332","www.civis-see.org","contact@civis-see.org","Private donations","Association","Zoran","Pusic","Dobracina 15/VII","Jovana","KUZMANOVIC","Dobracina 15/VII 11000 Belgrade Serbia","2007","17","150","English, BHS","English","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights","Albania, Bosnia and Herzegovina, Bulgaria, Croatia, Hungary, Montenegro, Romania, Serbia, Slovenia, the former Yugoslav Republic of Macedonia","Democracy, local and regional democracy, Promotion of democratic values and education for democratic citizenship, Strengthening civil society, Education and Culture, Cultural diversity, Intercultural Dialogue, Religion, Human rights, Economics and social rights, Legal protection, Promotion and defence of Human Rights, Rights of Minorities, International Co-operation, European integration, Promotion of Peace, Media and Communication, Media and minorities, Rule of Law, Fight against corruption, Social Cohension, Fight against poverty and social exclusion, Intercommunity relations and integration, Migration, Refugees, Students, Youth, Youth participation, Youth policy","2007"
"CIVICUS World Alliance for Citizenship participation","CIVICUS","CIVICUS Alliance mondiale pour la participation des citoyens","CIVICUS","PO Box 933","2135","Johannesburg","South Africa","","","www.civicus.org","info@civicus.org","","Association","","","","Danny","Sriskandarajah","","0","0","0","","","","","","0"
"CIVILSCAPE (We are the landscape people!)","CIVILSCAPE","CIVILSCAPE (Nous sommes le peuple de paysage!)","CIVILSCAPE","Adenauerallee 68","53113","Bonn","Germany","0049 228 29971101","0049 228 29971109","www.civilscape.eu","dirk.gotzmann@civilscape.eu","Membership fees, Public funding, Private donations","Association","Inge","Gotzmann","CIVILSCAPE Office Bonn 
Adenauerallee 68 
53113 Bonn 
Germany
Phone +49 228 299711-11","Pere","Sala í Martí","CIVILSCAPE Office Olot
c/o L'Observatori del Paisatge de Catalunya
Carrer Hospici, 8
17800 Olot
Spain
Phone +49 228 299711-13","2007","5","109","English","English","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights","Austria, Belgium, Bosnia and Herzegovina, Bulgaria, Croatia, Cyprus, Czech Republic, Estonia, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Latvia, Lithuania, Moldova, Montenegro, Netherlands, Portugal, Romania, Serbia, Slovakia, Spain, Sweden, Switzerland, the former Yugoslav Republic of Macedonia, Turkey, United Kingdom","Democracy, local and regional democracy, Promotion of democratic values and education for democratic citizenship, Strengthening civil society, Education and Culture, Cultural diversity, Education for Democratic Citizenship, Heritage, Intercultural Dialogue, Environment and sustanable development, Countryside, Environment protection, Land development, Other, Rural areas, Sustainable tourism, Urban areas, Promotion and defence of Human Rights, Rights of Minorities, International Co-operation, European integration, North-South Dialogue, Promotion of Peace, Media and Communication, Access to information, Freedom of expression, Media pluralism, Social Cohension, Fight against poverty and social exclusion, Fight against violence, Intercommunity relations and integration, Migration, Students, Youth, Youth participation","2009"
"COJEP (Conseil pour la Justice, l'Egalité et la Paix)","COJEP","COJEP (Council for Justice, Equality and Peace)","COJEP","18 rue du Chemin de Fer","67200","Strasbourg","France","+333.88.84.49.30","+333.88.34.75.94","www.cojep.com","cojep@cojep.com","Member fees, Public funding, Private donations","Federation","Ali","GEDIKOGLU","18 rue du Chemin de Fer 67200 Strasbourg","Ekrem recep","SAHIN","18 rue du Chemin de Fer 67200 Strasbourg","1985","5","1 500","Français-Anglais-Turc","Français","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights, Human Rights","Austria, Belgium, Bulgaria, Danemark, France, Germany, Netherlands, Romania, Switzerland, Turkey, Greece, Albania, the former Yugoslav Republic of Macedonia, Georgia, Azerbaijan, Luxembourg, Bosnia and Herzegovina","Human rights, Democracy, Social Cohension, International Co-operation, Education and Culture, Rule of Law, Media and Communication, Youth","2007"
"Community Media Forum Europe","CMFE","Forum européen des Médias communautaires/associatives","CMFE","Heliodoorstraat 3","6534 SH","Nijmegen","Netherlands","31634150581","","www.cmfe.eu","info@cmfe.eu","Member fees, Public funding, Private donations","Association","Pieter","de Wit","","Salvatore","Scifo","","2004","0","54","English","English","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights","Austria, Belgium, Cyprus, Czech Republic, Danemark, Spain, Finland, France, Germany, Hungary, Ireland, Italy, Netherlands, Norway, Poland, Slovenia, Switzerland, Slovakia, Sweden, Turkey, United Kingdom","Human rights, Promotion and defence of Human Rights, Gender equality, Fight against racism, Democracy, Promotion of democratic values and education for democratic citizenship, local and regional democracy, Social Cohension, Fight against poverty and social exclusion, Intercommunity relations and integration, International Co-operation, European integration, Education and Culture, Education for Democratic Citizenship, Cultural diversity, Media and Communication, Freedom of expression, Media pluralism, Access to information, Media and minorities, Media assistance, Rights of Minorities, Sport, Intercultural Dialogue, Strengthening civil society, Security and access to Internet","2011"
"Confederation of European Companions","CCEG","Confédération des Compagnonnages européens","CCEG","7, rue Petit","75019","Paris","France","","","","friedrich.bader@cceg.eu","","Federation","Ludwig","Hense","Waddenberg 32 D-32606 Vlotho L.Simon@gmx.de","","","","0","0","0","french, german","french, german","Democracy, Social Cohesion and Global Challenges, Education and Culture","Danemark, France, Germany, Norway, Switzerland","Education and Culture, International Co-operation, Youth","0"
"Conference of European Churches","CEC","Conférence des Eglises Européennes","KEK","150 route de Ferney","1211","Geneva 2","Switzerland","+41 22 791 61 11","+41 22 791 62 27","http://www.ceceurope.org/","","","Association","Jean-Arnold","de Clermont","3 place Robert Desnos 75010 Paris","Viorel","Ionita","Prof. Dr. viorel.ionita@cec-kek.org","1959","19","126","GB - F - D","GB - F - D - RU","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights","Albania, Armenia, Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Danemark, Estonia, Finland, France, Georgia, Germany, Greece, Hungary, Iceland, Ireland, Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Netherlands, Norway, Poland, Portugal, Romania, Russian Federation, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, Ukraine, United Kingdom","Democracy, Education and Culture, Environment and sustanable development, Health, Human rights, International Co-operation, Rule of Law, Social Cohension, Youth","1988"
"Conference of European Justice and Peace Commissions","Justitia Pax","Conférence des Commissions Justice et Paix d’Europe","Justitia Pax","58, avenue de Breteuil","75007","Paris","France","33549605233","33549602579","www.juspax-eu.org","mld.europa@cef.fr","Member fees","Association","+ William","KENNEY","as above","Marie-Laure","DENES","as above","1971","3","30","English","German, French","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights, Human Rights","Austria, Belgium, Croatia, Czech Republic, Danemark, Spain, France, Germany, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Romania, Slovenia, Switzerland, Slovakia, Sweden, Greece, Albania, Luxembourg, Malta, Ukraine, Bosnia and Herzegovina, Serbia, United Kingdom","Human rights, Social Cohension, International Co-operation, Rule of Law, Environment and sustanable development, Media and Communication","2001"
"Conference of European Rabbis","CER","Conférence des Rabbins européens","CER","19 Rue St Georges","75009","Paris","France","","","http://www.confeurorabbis.org/","mendelsamama@gmail.com","Private donations","Association","Pinchas","GOLDSCHMIDT","Moscow","Moshé","M. LEWIN","Paris","0","4","700","","","","Belgium, Bulgaria, Cyprus, Czech Republic, Danemark, Spain, France, Germany, Hungary, Italy, Lithuania, Poland, Switzerland, Turkey, Luxembourg, Ukraine, Russian Federation, United Kingdom, USA, South Africa, Israel","Human rights, Democracy, Education and Culture, Media and Communication, Youth","0"
"Conference of Peripheral Maritime Regions of Europe","CPMR","Conférence des Régions Périphériques Maritimes d'Europe","CRPM","6 rue St Martin","35700","Rennes","France","+ 33 2 99 35 40 50","+ 33 2 99 35 19 09","www.crpm.org","secretariat@crpm.org","Member fees","Association","Claudio","MARTINI","","Xavier","GIZARD","","1973","20","156","Français, Anglais, Espagnol, Allemand, Grec","","Democracy, Social Cohesion and Global Challenges","Belgium, France","Democracy, Social Cohension, International Co-operation, Environment and sustanable development, Other","0"
"Consortium of Institutions for Development and Research in Education in Europe","CIDREE","Consortium des Institutions pour le Développement et la Recherche en Education en Europe","CIDREE","Entfelderstrasse 61","5000","CH-5000 Aarau","Switzerland","+ 41 62 835 23 90","","www.cidree.org","","","Association","","","","","","","0","0","0","","","","","","2002"
"Council of European Municipalities and Regions","CEMR","Conseil des Communes et Régions d'Europe","CCRE","1 Square de Meuûs","1000","Bruxelles","Belgium","+32 2 511 74 77","+32 511 09 49","www.ccre-cemr.org","","","Association","","","","","","","0","0","0","","","","","","0"
